macro_region,ano,semana,precip_mean,temp_max_mean,temp_min_mean,hum_mean,flag_covid_mod,total_mean,climadjust_mean,oni_mean
costa_norte,2024,1,2.252293577981652,22.29982142857143,14.600483460559795,79.8524115755627,1,28.36,26.55,1.81
costa_norte,2024,2,3.28375,23.214075342465755,15.206894197952218,80.69830508474575,1,28.36,26.55,1.81
costa_norte,2024,3,1.2159663865546215,23.210449826989617,15.584463667820067,79.99141630901288,1,28.36,26.55,1.81
costa_norte,2024,4,0.3055776892430279,24.4439175257732,15.95553264604811,78.23865546218487,1,28.36,26.55,1.81
costa_norte,2024,5,3.31015625,23.635566666666666,16.191295681063124,81.08170731707317,1,28.36,26.55,1.81
costa_norte,2024,6,-4.31198347107438,23.6016724738676,16.067630662020907,81.55130434782609,1,28.28,26.76,1.51
costa_norte,2024,7,0.9643153526970956,23.74801393728223,16.12912891986063,79.92813852813853,1,28.28,26.76,1.51
costa_norte,2024,8,7.700409836065574,23.895679442508712,15.348710801393729,80.94069264069263,1,28.28,26.76,1.51
costa_norte,2024,9,3.710852713178295,23.763125,15.545180327868852,80.14367346938776,1,28.28,26.76,1.51
costa_norte,2024,10,0.812156862745098,23.718496732026143,15.598071895424836,78.7798353909465,0,28.42,27.29,1.12
costa_norte,2024,11,0.4883268482490272,24.44056105610561,15.817755775577558,77.74163265306123,0,28.42,27.29,1.12
costa_norte,2024,12,2.8015748031496064,24.87656462585034,16.31265306122449,79.43811475409836,0,28.42,27.29,1.12
costa_norte,2024,13,0.6696498054474708,25.305408163265305,14.842619047619046,76.71687242798355,0,28.42,27.29,1.12
costa_norte,2024,14,-5.631558935361217,22.801463414634146,14.769390243902436,79.22295719844358,0,28.6,27.83,0.77
costa_norte,2024,15,-6.521933085501859,24.084375,15.32521875,76.73294117647059,0,28.6,27.83,0.77
costa_norte,2024,16,0.9003690036900369,23.701246105919004,14.98565625,76.81744186046512,0,28.6,27.83,0.77
costa_norte,2024,17,-2.109701492537313,23.623540372670806,15.19105590062112,78.43488372093023,0,28.6,27.83,0.77
costa_norte,2024,18,0.9247232472324723,23.277291666666667,14.653214285714284,78.85451127819549,0,28.6,27.83,0.77
costa_norte,2024,19,0.4528735632183908,22.108575851393187,13.869102167182664,79.3797619047619,0,28.17,27.94,0.23
costa_norte,2024,20,-3.031954887218045,22.15621951219512,13.726371951219512,78.99844961240309,0,28.17,27.94,0.23
costa_norte,2024,21,0.1602941176470588,22.014386503067485,13.000736196319018,78.52868217054264,0,28.17,27.94,0.23
costa_norte,2024,22,0.0602150537634408,22.38598802395209,12.597440476190476,76.78921933085502,0,28.17,27.94,0.23
costa_norte,2024,23,0.0736059479553903,21.062857142857144,12.202470238095238,77.52945736434108,0,27.9,27.73,0.18
costa_norte,2024,24,0.2925650557620818,20.72550595238096,12.487738095238097,79.16679536679537,0,27.9,27.73,0.18
costa_norte,2024,25,0.392910447761194,20.82522388059701,12.164880952380951,78.3011673151751,0,27.9,27.73,0.18
costa_norte,2024,26,0.0433333333333333,21.442006079027355,12.204285714285714,77.71428571428571,0,27.9,27.73,0.18
costa_norte,2024,27,0.1341637010676156,21.42374639769453,12.540720461095102,78.268,0,27.34,27.29,0.05
costa_norte,2024,28,0.052014652014652,20.87075987841945,12.111732522796354,77.57868217054263,0,27.34,27.29,0.05
costa_norte,2024,29,0.0,20.734650455927053,11.119787234042551,75.21089494163425,0,27.34,27.29,0.05
costa_norte,2024,30,0.0058608058608058,20.996048632218844,11.218297872340424,75.78488372093024,0,27.34,27.29,0.05
costa_norte,2024,31,0.0069686411149825,21.28061046511628,11.615860058309035,77.24117647058823,0,27.34,27.29,0.05
costa_norte,2024,32,0.0172161172161172,20.44517857142857,11.437291666666669,77.55503875968992,0,26.74,26.86,-0.12
costa_norte,2024,33,0.0,20.14047761194029,11.082380952380952,76.71627906976744,0,26.74,26.86,-0.12
costa_norte,2024,34,0.0666666666666666,20.44684523809524,11.45610119047619,77.05736434108528,0,26.74,26.86,-0.12
costa_norte,2024,35,0.0126315789473684,21.0832944606414,11.633556851311951,76.13713235294118,0,26.74,26.86,-0.12
costa_norte,2024,36,0.0124542124542124,20.562113095238097,11.063630952380953,75.78223938223938,0,26.46,26.72,-0.26
costa_norte,2024,37,0.0003676470588235,21.18597014925373,11.520357142857144,75.834496124031,0,26.46,26.72,-0.26
costa_norte,2024,38,0.1428044280442804,21.005753012048192,11.89210843373494,77.23397683397683,0,26.46,26.72,-0.26
costa_norte,2024,39,0.6845864661654135,21.96457142857143,12.62168253968254,78.54863813229572,0,26.46,26.72,-0.26
costa_norte,2024,40,0.4682142857142857,22.240209580838325,12.862852852852852,77.68154981549816,0,26.46,26.72,-0.26
costa_norte,2024,41,0.3234200743494423,21.968359621451103,12.960473186119875,77.34633204633205,0,26.45,26.72,-0.27
costa_norte,2024,42,0.1142857142857142,22.540349206349205,12.709174603174604,75.78108108108108,0,26.45,26.72,-0.27
costa_norte,2024,43,0.132967032967033,22.89663492063492,12.803174603174604,75.60894941634241,0,26.45,26.72,-0.27
costa_norte,2024,44,0.1323843416370106,21.88605421686747,12.853867069486403,77.5266917293233,0,26.45,26.72,-0.27
costa_norte,2024,45,-3.5518382352941176,21.07106707317073,12.088384146341465,76.20271317829457,0,26.46,26.7,-0.25
costa_norte,2024,46,-3.755639097744361,21.71900621118013,11.120965732087226,73.5184,0,26.46,26.7,-0.25
costa_norte,2024,47,0.2199248120300752,21.9715625,11.90078125,74.2136546184739,0,26.46,26.7,-0.25
